drug1,drug2,label
0,243,46
1,751,69
2,66,19
3,836,46
4,473,53
5,1026,70
6,653,59
7,356,48
8,715,48
9,395,72
10,320,74
11,66,46
12,476,15
13,560,48
14,1305,72
15,1078,48
16,685,48
17,1206,72
18,485,48
19,1176,59
20,907,48
21,165,48
22,534,48
23,328,59
24,171,48
25,595,48
26,876,74
27,220,3
28,258,3
29,35,69
30,396,46
31,865,69
32,320,46
33,43,48
34,649,72
35,172,48
36,664,72
37,592,48
38,1076,48
39,797,28
40,97,19
41,300,57
42,1180,72
43,704,46
44,574,46
45,752,69
46,587,69
47,503,48
28,1587,72
48,769,48
49,1280,48
50,1143,52
51,1339,59
52,646,81
53,407,48
54,62,48
55,361,82
56,157,48
56,701,48
57,167,48
58,552,1
59,987,46
60,718,46
61,350,48
20,144,48
21,562,48
62,663,46
63,181,46
64,287,59
65,1458,72
66,135,48
67,1447,46
6,312,46
68,676,46
69,912,46
3,826,13
70,1015,48
71,327,53
72,588,48
73,251,3
74,721,59
75,1174,2
66,225,46
76,1228,72
77,372,15
51,348,48
78,378,48
79,538,46
80,1279,72
81,868,46
82,915,46
83,1043,48
84,547,72
85,675,69
86,1303,48
87,423,36
88,919,48
89,770,20
90,83,2
91,1194,72
58,871,46
92,199,48
93,960,48
94,337,72
95,1241,46
96,1305,72
97,878,72
98,377,46
99,45,59
100,703,59
101,281,72
102,1287,59
103,1458,72
104,1317,46
105,358,15
106,29,66
107,1070,46
108,750,48
10,999,74
109,1317,46
1,940,48
110,984,46
30,871,46
111,642,36
112,575,69
113,1223,13
114,474,46
115,1038,72
116,1104,5
117,1103,71
118,1334,13
119,680,72
120,28,74
121,795,48
122,1242,74
123,763,46
124,676,46
125,312,48
126,456,81
127,216,48
128,550,82
129,1232,46
130,1255,57
131,303,48
132,829,69
133,836,46
134,482,13
135,1610,38
136,480,48
33,1320,48
86,356,48
137,1087,53
138,7,48
139,1245,46
140,99,69
141,1206,46
142,688,69
143,303,48
144,768,48
145,109,48
146,1357,48
147,295,48
51,441,63
148,664,76
149,273,46
150,772,19
151,797,28
32,575,48
152,1611,72
153,144,4
135,1305,72
5,322,59
154,194,24
155,59,48
156,567,74
157,919,48
158,984,46
45,147,59
159,401,72
160,539,48
28,1060,3
161,1372,46
162,275,48
163,810,48
164,507,74
165,1084,48
2,233,19
166,228,48
76,1317,46
42,288,15
167,693,72
168,245,14
169,227,48
170,63,48
171,1191,48
172,773,48
173,487,59
174,1003,72
175,323,48
